method,baseline_pct,malicious_pct,z_threshold,tp,fp,tn,fn,precision,recall,f1,accuracy
mi,30.0,1.0,2.0,24,34,56,37,0.41379310344827586,0.39344262295081966,0.40336134453781514,0.5298013245033113
mi,30.0,1.0,2.5,12,16,85,38,0.42857142857142855,0.24,0.30769230769230765,0.6423841059602649
mi,30.0,1.0,3.0,9,6,65,71,0.6,0.1125,0.18947368421052632,0.4900662251655629
mi,30.0,10.0,2.0,40,39,72,0,0.5063291139240507,1.0,0.6722689075630253,0.7417218543046358
mi,30.0,10.0,2.5,40,20,91,0,0.6666666666666666,1.0,0.8,0.8675496688741722
mi,30.0,10.0,3.0,40,6,105,0,0.8695652173913043,1.0,0.9302325581395349,0.9602649006622517
mi,30.0,2.0,2.0,33,35,76,7,0.4852941176470588,0.825,0.611111111111111,0.7218543046357616
mi,30.0,2.0,2.5,13,21,110,7,0.38235294117647056,0.65,0.48148148148148157,0.8145695364238411
mi,30.0,2.0,3.0,24,5,76,46,0.8275862068965517,0.34285714285714286,0.48484848484848486,0.6622516556291391
mi,30.0,3.0,2.0,40,42,69,0,0.4878048780487805,1.0,0.6557377049180327,0.7218543046357616
mi,30.0,3.0,2.5,17,21,110,3,0.4473684210526316,0.85,0.5862068965517242,0.8410596026490066
mi,30.0,3.0,3.0,11,8,123,9,0.5789473684210527,0.55,0.5641025641025641,0.8874172185430463
mi,30.0,5.0,2.0,40,41,70,0,0.49382716049382713,1.0,0.6611570247933884,0.7284768211920529
mi,30.0,5.0,2.5,61,16,74,0,0.7922077922077922,1.0,0.8840579710144928,0.8940397350993378
mi,30.0,5.0,3.0,30,9,112,0,0.7692307692307693,1.0,0.8695652173913044,0.9403973509933775
