Capacity of Flows : ,23988
Size of IBLT : ,31064
Number of BF Hash Functions : ,7,Size of BF : ,229929
Epoch name,noOfMalFlows,totalBenignFlows,all_decodable_count,all_decodable_percent,all_undecodable_count,all_undecodable_percent,benign_decodable_count,benign_decodable_percent,benign_undecodable_count,benign_undecodable_percent,purecell_ben_collision,purecell_mal_collision,purecell_all_collision,completely_colliding_flows,completely_colliding_mal_flows,completely_colliding_ben_flows,non_colliding_flows,non_colliding_mal_flows,non_colliding_ben_flows,collisions_by_benignflows,collisions_by_maliciousflows,collisions_by_allflows,cells_occupied_epochend,cells_occupied_epochend_percent,cells_occupied_decodeend,cells_occupied_decodeend_percent,purecell_count_before_decode,purecell_count_after_decode,no_of_benign_flows_classified_as_old,no_of_benign_flows_classified_as_new,no_of_malicious_flows_classified_as_old,no_of_malicious_flows_classified_as_new,total_flows_classified_as_old,total_flows_classified_as_new,catergory_of_flows,Pollution ?,pre_mit_decodable,pre_mit_undecodable,pre_mit_decodable_percent,pre_mit_undecodable_percent,NumberofSampledFlows,Sampled Flows after nonMitigated SD,Flows used for mitigation
_00179_20180315130150,1883,23542,25387,99.85054080629303,38,0.14945919370698132,23505,99.84283408376518,37,0.15716591623481438,23842,2151,25993,10495,624,9871,1914,180,1734,67056,4887,71943,29605,95.3032449137265,0,0.0,3612,0,37,23505,1,1882,38,25387,NORMAL,No,13033,12392,51.26057030481809,48.739429695181904,10495,9405,1376
_00003_20180315130100,1908,23858,25710,99.78265931848172,56,0.2173406815182799,23803,99.76946936038226,55,0.23053063961773831,23973,2177,26150,10699,645,10054,1875,175,1700,68187,5005,73192,29648,95.44166881277363,0,0.0,3498,0,55,23803,1,1907,56,25710,NORMAL,No,12929,12837,50.17852984553287,49.82147015446713,10699,9732,1652
_00036_20180315130110,1909,23864,25709,99.75167811275367,64,0.24832188724634308,23801,99.73600402279584,63,0.2639959772041569,23980,2242,26222,10729,606,10123,1918,182,1736,68317,4885,73202,29634,95.39660056657225,0,0.0,3412,0,63,23801,1,1908,64,25709,NORMAL,No,12559,13214,48.7292903426066,51.2707096573934,10729,9745,1660
_00158_20180315130144,1895,23698,25537,99.78119016918689,56,0.21880983081311295,23643,99.76791290404253,55,0.23208709595746477,23832,2251,26083,10686,648,10038,1961,183,1778,67641,4969,72610,29538,95.08756116404842,0,0.0,3455,0,55,23643,1,1894,56,25537,NORMAL,No,12354,13239,48.27101160473567,51.72898839526433,10686,9689,1593
_00109_20180315130130,1907,23841,25691,99.77862358241417,57,0.22137641758583193,23784,99.76091606895685,57,0.23908393104316092,23882,2236,26118,10779,597,10182,1924,204,1720,68217,4910,73127,29637,95.4062580479011,0,0.0,3519,0,57,23784,0,1907,57,25691,NORMAL,No,12767,12981,49.5844337424266,50.41556625757341,10779,9724,1596
_00164_20180315130145,1916,23953,25818,99.8028528354401,51,0.19714716455989795,23903,99.79125788001502,50,0.20874211998497058,23870,2250,26120,10943,655,10288,1939,195,1744,68699,4979,73678,29594,95.26783414885398,0,0.0,3474,0,50,23903,1,1915,51,25818,NORMAL,No,13378,12491,51.714407205535586,48.285592794464414,10943,10038,1755
_00145_20180315130140,1900,23753,25579,99.7115347132889,74,0.28846528671110594,23680,99.69267039952848,73,0.3073296004715194,23824,2267,26091,10627,634,9993,1926,187,1739,67653,4998,72651,29665,95.49639454030388,0,0.0,3574,0,73,23680,1,1899,74,25579,NORMAL,No,13326,12327,51.94714068529996,48.05285931470004,10627,9594,1472
_00197_20180315130155,1893,23665,25495,99.75350183895453,63,0.24649816104546524,23602,99.73378406930065,63,0.266215930699345,23782,2272,26054,10583,633,9950,1903,183,1720,67425,4978,72403,29577,95.21310842132372,0,0.0,3523,0,63,23602,0,1893,63,25495,NORMAL,No,12155,13403,47.558494404883014,52.441505595116986,10583,9564,1511
_00168_20180315130147,1937,24219,26089,99.74384462456032,67,0.2561553754396697,24153,99.72748668400843,66,0.27251331599157685,24140,2248,26388,11009,636,10373,1867,176,1691,69578,5056,74634,29722,95.6798866855524,0,0.0,3334,0,66,24153,1,1936,67,26089,SPIKE,No,12911,13245,49.36152316868023,50.63847683131978,11009,10149,1942
_00015_20180315130104,1945,24315,26188,99.72581873571973,72,0.2741812642802742,24243,99.7038864898211,72,0.2961135101789019,24031,2306,26337,11205,652,10553,1965,213,1752,69988,5050,75038,29714,95.65413340200875,0,0.0,3377,0,72,24243,0,1945,72,26188,SPIKE,No,13392,12868,50.997715156130994,49.002284843869006,11205,10359,2053
