Capacity of Flows : ,23988
Size of IBLT : ,31064
Number of BF Hash Functions : ,7,Size of BF : ,229929
Epoch name,noOfMalFlows,totalBenignFlows,all_decodable_count,all_decodable_percent,all_undecodable_count,all_undecodable_percent,benign_decodable_count,benign_decodable_percent,benign_undecodable_count,benign_undecodable_percent,purecell_ben_collision,purecell_mal_collision,purecell_all_collision,completely_colliding_flows,completely_colliding_mal_flows,completely_colliding_ben_flows,non_colliding_flows,non_colliding_mal_flows,non_colliding_ben_flows,collisions_by_benignflows,collisions_by_maliciousflows,collisions_by_allflows,cells_occupied_epochend,cells_occupied_epochend_percent,cells_occupied_decodeend,cells_occupied_decodeend_percent,purecell_count_before_decode,purecell_count_after_decode,no_of_benign_flows_classified_as_old,no_of_benign_flows_classified_as_new,no_of_malicious_flows_classified_as_old,no_of_malicious_flows_classified_as_new,total_flows_classified_as_old,total_flows_classified_as_new,catergory_of_flows,Pollution ?,pre_mit_decodable,pre_mit_undecodable,pre_mit_decodable_percent,pre_mit_undecodable_percent,NumberofSampledFlows,Sampled Flows after nonMitigated SD,Flows used for mitigation
_00179_20180315130150,18,23542,23536,99.8981324278438,24,0.10186757215619693,23518,99.89805454082065,24,0.10194545917933905,24976,1,24977,8789,0,8789,1930,17,1913,64531,1,64532,29612,95.3257790368272,0,0.0,4635,0,24,23518,0,18,24,23536,NORMAL,No,0,0,0.0,0.0,8789,0,0
_00003_20180315130100,19,23858,23841,99.84922728986054,36,0.15077271013946475,23822,99.84910721770476,36,0.15089278229524689,25228,0,25228,8988,0,8988,1910,19,1891,65714,0,65714,29650,95.44810713365955,0,0.0,4422,0,36,23822,0,19,36,23841,NORMAL,No,0,0,0.0,0.0,8988,0,0
_00036_20180315130110,19,23864,23843,99.83251685299167,40,0.16748314700833228,23824,99.83238350653704,40,0.16761649346295676,25223,3,25226,8991,0,8991,1940,16,1924,65730,3,65733,29639,95.41269636878702,0,0.0,4413,0,40,23824,0,19,40,23843,NORMAL,No,0,0,0.0,0.0,8991,0,0
_00158_20180315130144,18,23698,23682,99.85663686962388,34,0.1433631303761174,23664,99.85652797704448,34,0.1434720229555237,25073,1,25074,8955,0,8955,1980,17,1963,65186,1,65187,29541,95.0972186453773,0,0.0,4467,0,34,23664,0,18,34,23682,NORMAL,No,0,0,0.0,0.0,8955,0,0
_00109_20180315130130,19,23841,23823,99.84492875104777,37,0.1550712489522213,23804,99.84480516756847,37,0.15519483243152551,25123,0,25123,9053,0,9053,1932,19,1913,65656,0,65656,29636,95.40303888745815,0,0.0,4513,0,37,23804,0,19,37,23823,NORMAL,No,0,0,0.0,0.0,9053,0,0
_00164_20180315130145,19,23953,23943,99.87902552978476,29,0.12097447021525112,23924,99.87892957040872,29,0.12107042959128293,25153,0,25153,9198,0,9198,1963,19,1944,66172,0,66172,29600,95.28714911151171,0,0.0,4447,0,29,23924,0,19,29,23943,NORMAL,No,11732,12240,48.94043050225263,51.05956949774737,9198,6775,43
_00145_20180315130140,19,23753,23734,99.84014807336362,38,0.15985192663637893,23715,99.84002020797374,38,0.15997979202627038,25084,0,25084,8939,0,8939,1927,19,1908,65263,0,65263,29673,95.52214782384753,0,0.0,4589,0,38,23715,0,19,38,23734,NORMAL,No,0,0,0.0,0.0,8939,0,0
_00197_20180315130155,18,23665,23640,99.81843516446396,43,0.1815648355360385,23622,99.81829706317346,43,0.1817029368265371,25064,2,25066,8855,0,8855,1927,16,1911,64981,2,64983,29577,95.21310842132372,0,0.0,4511,0,43,23622,0,18,43,23640,NORMAL,No,0,0,0.0,0.0,8855,0,0
_00168_20180315130147,19,24219,24199,99.83909563495338,39,0.160904365046621,24180,99.8389694041868,39,0.1610305958132045,25436,0,25436,9321,0,9321,1907,19,1888,67070,0,67070,29726,95.69276332732424,0,0.0,4290,0,39,24180,0,19,39,24199,SPIKE,No,11098,13140,45.78760623813846,54.21239376186154,9321,7299,241
_00015_20180315130104,19,24315,24291,99.8232925125339,43,0.17670748746609682,24272,99.82315443142093,43,0.17684556857906641,25351,0,25351,9428,0,9428,1965,19,1946,67449,0,67449,29715,95.65735256245172,0,0.0,4364,0,43,24272,0,19,43,24291,SPIKE,No,11959,12375,49.145228897838415,50.85477110216159,9428,7305,215
_00170_20180315130147,19,23769,23751,99.84445939128973,37,0.1555406087102741,23732,99.84433505826917,37,0.15566494173082587,25105,3,25108,8955,0,8955,1933,17,1916,65372,3,65375,29629,95.38050476435745,0,0.0,4521,0,37,23732,0,19,37,23751,NORMAL,No,0,0,0.0,0.0,8955,0,0
_00169_20180315130147,19,23952,23930,99.82895999332527,41,0.17104000667473196,23911,99.82882431529725,41,0.1711756847027388,25260,0,25260,9239,0,9239,1958,19,1939,66091,0,66091,29629,95.38050476435745,0,0.0,4369,0,41,23911,0,19,41,23930,NORMAL,No,0,0,0.0,0.0,9239,0,0
