Capacity of Flows : ,23988
Size of IBLT : ,31064
Number of BF Hash Functions : ,7,Size of BF : ,229929
Epoch name,noOfMalFlows,totalBenignFlows,all_decodable_count,all_decodable_percent,all_undecodable_count,all_undecodable_percent,benign_decodable_count,benign_decodable_percent,benign_undecodable_count,benign_undecodable_percent,purecell_ben_collision,purecell_mal_collision,purecell_all_collision,completely_colliding_flows,completely_colliding_mal_flows,completely_colliding_ben_flows,non_colliding_flows,non_colliding_mal_flows,non_colliding_ben_flows,collisions_by_benignflows,collisions_by_maliciousflows,collisions_by_allflows,cells_occupied_epochend,cells_occupied_epochend_percent,cells_occupied_decodeend,cells_occupied_decodeend_percent,purecell_count_before_decode,purecell_count_after_decode,no_of_benign_flows_classified_as_old,no_of_benign_flows_classified_as_new,no_of_malicious_flows_classified_as_old,no_of_malicious_flows_classified_as_new,total_flows_classified_as_old,total_flows_classified_as_new,catergory_of_flows,Pollution ?,pre_mit_decodable,pre_mit_undecodable,pre_mit_decodable_percent,pre_mit_undecodable_percent,NumberofSampledFlows,Sampled Flows after nonMitigated SD,Flows used for mitigation
_00179_20180315130150,2,23542,23520,99.89806320081549,24,0.10193679918450561,23518,99.89805454082065,24,0.10194545917933905,24962,0,24962,8774,0,8774,1930,2,1928,64474,0,64474,29606,95.30646407416945,0,0.0,4644,0,24,23518,0,2,24,23520,NORMAL,No,0,0,0.0,0.0,8774,0,0
_00003_20180315130100,2,23858,23823,99.84492875104777,37,0.1550712489522213,23821,99.84491575152988,37,0.15508424847011484,25217,0,25217,8977,0,8977,1908,2,1906,65645,0,65645,29647,95.43844965233068,0,0.0,4430,0,37,23821,0,2,37,23823,NORMAL,No,0,0,0.0,0.0,8977,0,0
_00036_20180315130110,2,23864,23826,99.83239755300427,40,0.16760244699572613,23824,99.83238350653704,40,0.16761649346295676,25223,0,25223,8982,0,8982,1942,2,1940,65669,0,65669,29635,95.39981972701518,0,0.0,4412,0,40,23824,0,2,40,23826,NORMAL,No,0,0,0.0,0.0,8982,0,0
_00158_20180315130144,2,23698,23667,99.86075949367088,33,0.13924050632911392,23665,99.86074774242553,33,0.13925225757447887,25063,0,25063,8946,0,8946,1982,2,1980,65129,0,65129,29539,95.09078032449138,0,0.0,4476,0,33,23665,0,2,33,23667,NORMAL,No,0,0,0.0,0.0,8946,0,0
_00109_20180315130130,2,23841,23806,99.844818185631,37,0.1551818143689972,23804,99.84480516756847,37,0.15519483243152551,25114,0,25114,9045,0,9045,1936,2,1934,65590,0,65590,29634,95.39660056657225,0,0.0,4520,0,37,23804,0,2,37,23806,NORMAL,No,0,0,0.0,0.0,9045,0,0
_00164_20180315130145,2,23953,23926,99.87893967856397,29,0.1210603214360259,23924,99.87892957040872,29,0.12107042959128293,25144,0,25144,9181,0,9181,1957,2,1955,66109,0,66109,29595,95.27105330929693,0,0.0,4451,0,29,23924,0,2,29,23926,NORMAL,No,11236,12719,46.9046128156961,53.0953871843039,9181,6731,21
_00145_20180315130140,2,23753,23717,99.84003367712062,38,0.1599663228793938,23715,99.84002020797374,38,0.15997979202627038,25072,0,25072,8926,0,8926,1921,2,1919,65195,0,65195,29673,95.52214782384753,0,0.0,4601,0,38,23715,0,2,38,23717,NORMAL,No,0,0,0.0,0.0,8926,0,0
_00197_20180315130155,2,23665,23624,99.81831241813495,43,0.18168758186504416,23622,99.81829706317346,43,0.1817029368265371,25059,0,25059,8839,0,8839,1928,2,1926,64918,0,64918,29578,95.21632758176668,0,0.0,4519,0,43,23622,0,2,43,23624,NORMAL,No,0,0,0.0,0.0,8839,0,0
_00168_20180315130147,2,24219,24182,99.83898270096198,39,0.16101729903802486,24180,99.8389694041868,39,0.1610305958132045,25425,0,25425,9301,0,9301,1908,2,1906,67003,0,67003,29725,95.68954416688128,0,0.0,4300,0,39,24180,0,2,39,24182,SPIKE,No,11139,13082,45.98901779447587,54.01098220552413,9301,7274,237
_00015_20180315130104,2,24315,24273,99.81905662705104,44,0.18094337294896576,24271,99.81904174377956,44,0.18095825622044007,25344,0,25344,9417,0,9417,1967,2,1965,67382,0,67382,29710,95.64125676023693,0,0.0,4366,0,44,24271,0,2,44,24273,SPIKE,No,11840,12477,48.6902167208126,51.30978327918741,9417,7278,198
_00170_20180315130147,2,23769,23734,99.8443481553153,37,0.15565184468469984,23732,99.84433505826917,37,0.15566494173082587,25098,0,25098,8940,0,8940,1935,2,1933,65308,0,65308,29628,95.3772856039145,0,0.0,4530,0,37,23732,0,2,37,23734,NORMAL,No,0,0,0.0,0.0,8940,0,0
_00169_20180315130147,2,23952,23914,99.8330132754446,40,0.16698672455539784,23912,99.83299933199733,40,0.16700066800267202,25250,0,25250,9217,0,9217,1952,2,1950,66028,0,66028,29628,95.3772856039145,0,0.0,4378,0,40,23912,0,2,40,23914,NORMAL,No,0,0,0.0,0.0,9217,0,0
_00089_20180315130124,2,24244,24203,99.82265115895406,43,0.17734884104594573,24201,99.82263652862564,43,0.17736347137436065,25443,0,25443,9345,0,9345,1968,2,1966,67107,0,67107,29705,95.62516095802215,0,0.0,4262,0,43,24201,0,2,43,24203,SPIKE,No,11342,12904,46.778850119607355,53.22114988039264,9345,7072,179
_00035_20180315130109,2,24027,23992,99.84601939323318,37,0.15398060676682343,23990,99.8460065759354,37,0.153993424064594,25179,0,25179,9096,0,9096,1883,2,1881,66291,0,66291,29677,95.53502446561937,0,0.0,4498,0,37,23990,0,2,37,23992,SPIKE,No,0,0,0.0,0.0,9096,0,0
