Capacity of Flows : ,23988
Size of IBLT : ,31064
Number of BF Hash Functions : ,7,Size of BF : ,229929
Epoch name,noOfMalFlows,totalBenignFlows,all_decodable_count,all_decodable_percent,all_undecodable_count,all_undecodable_percent,benign_decodable_count,benign_decodable_percent,benign_undecodable_count,benign_undecodable_percent,purecell_ben_collision,purecell_mal_collision,purecell_all_collision,completely_colliding_flows,completely_colliding_mal_flows,completely_colliding_ben_flows,non_colliding_flows,non_colliding_mal_flows,non_colliding_ben_flows,collisions_by_benignflows,collisions_by_maliciousflows,collisions_by_allflows,cells_occupied_epochend,cells_occupied_epochend_percent,cells_occupied_decodeend,cells_occupied_decodeend_percent,purecell_count_before_decode,purecell_count_after_decode,no_of_benign_flows_classified_as_old,no_of_benign_flows_classified_as_new,no_of_malicious_flows_classified_as_old,no_of_malicious_flows_classified_as_new,total_flows_classified_as_old,total_flows_classified_as_new,catergory_of_flows,Pollution ?,pre_mit_decodable,pre_mit_undecodable,pre_mit_decodable_percent,pre_mit_undecodable_percent,NumberofSampledFlows,Sampled Flows after nonMitigated SD,Flows used for mitigation
_00179_20180315130150,2354,23542,25851,99.82622798887859,45,0.17377201112140872,23499,99.81734771897035,43,0.18265228102964912,23711,2496,26207,10704,875,9829,1951,183,1768,66955,6461,73416,29988,96.53618336337884,0,0.0,3781,0,43,23499,2,2352,45,25851,NORMAL,No,13327,12569,51.46354649366698,48.536453506333025,10704,9588,1207
_00003_20180315130100,2385,23858,26182,99.7675570628358,61,0.23244293716419617,23802,99.7652778942074,56,0.23472210579260624,23997,2477,26474,10984,942,10042,1927,203,1724,68080,6646,74726,30002,96.58125160958022,0,0.0,3528,0,56,23802,5,2380,61,26182,NORMAL,No,13623,12620,51.91098578668597,48.08901421331402,10984,10016,1561
_00036_20180315130110,2386,23864,26182,99.74095238095238,68,0.259047619047619,23800,99.73181361045927,64,0.2681863895407308,23937,2512,26449,11019,862,10157,1956,208,1748,68229,6507,74736,29992,96.54906000515065,0,0.0,3543,0,64,23800,4,2382,68,26182,NORMAL,No,13981,12269,53.260952380952375,46.73904761904762,11019,10078,1567
_00158_20180315130144,2369,23698,26002,99.75064257490314,65,0.2493574250968658,23640,99.75525360789939,58,0.2447463921005992,23721,2547,26268,10889,874,10015,1980,172,1808,67566,6522,74088,29920,96.3172804532578,0,0.0,3652,0,58,23640,7,2362,65,26002,NORMAL,No,13655,12412,52.384240610733876,47.615759389266124,10889,9859,1457
_00109_20180315130130,2384,23841,26162,99.75977121067685,63,0.2402287893231649,23781,99.7483327041651,60,0.25166729583490627,23795,2545,26340,11011,856,10155,1920,175,1745,68094,6510,74604,30044,96.7164563481844,0,0.0,3704,0,60,23781,3,2381,63,26162,NORMAL,No,13800,12425,52.62154432793136,47.37845567206864,11011,9928,1434
_00164_20180315130145,2395,23953,26286,99.76468802186123,62,0.23531197813875818,23895,99.75785914081743,58,0.24214085918256587,23751,2637,26388,11192,895,10297,1963,205,1758,68624,6540,75164,29980,96.51043007983517,0,0.0,3592,0,58,23895,4,2391,62,26286,NORMAL,No,14160,12188,53.74221952330348,46.257780476696524,11192,10229,1676
_00145_20180315130140,2375,23753,26046,99.6861604409063,82,0.3138395590936926,23677,99.68004041594746,76,0.31995958405254077,23844,2502,26346,10882,917,9965,1917,195,1722,67611,6568,74179,30005,96.5909090909091,0,0.0,3659,0,76,23677,6,2369,82,26046,NORMAL,No,13128,13000,50.244947948560934,49.75505205143907,10882,9889,1433
_00197_20180315130155,2366,23665,25963,99.73877300142138,68,0.2612269985786178,23599,99.72110712021973,66,0.2788928797802662,23810,2487,26297,10827,892,9935,1943,197,1746,67420,6484,73904,29948,96.40741694566057,0,0.0,3651,0,66,23599,2,2364,68,25963,NORMAL,No,13333,12698,51.21969958895164,48.780300411048366,10827,9768,1353
_00168_20180315130147,2421,24219,26569,99.73348348348348,71,0.26651651651651653,24152,99.72335769437218,67,0.2766423056278129,24197,2468,26665,11336,949,10387,1908,198,1710,69500,6699,76199,30077,96.82268864280196,0,0.0,3412,0,67,24152,4,2417,71,26569,SPIKE,No,14088,12552,52.88288288288289,47.11711711711712,11336,10502,1851
_00015_20180315130104,2431,24315,26672,99.72332311373663,74,0.27667688626336645,24244,99.70799917746247,71,0.29200082253752824,24093,2513,26606,11502,956,10546,1968,186,1782,69828,6785,76613,30075,96.81625032191604,0,0.0,3469,0,71,24244,3,2428,74,26672,SPIKE,No,13785,12961,51.5404172586555,48.4595827413445,11502,10675,1954
