Capacity of Flows : ,24800
Size of IBLT : ,32116
Number of BF Hash Functions : ,7,Size of BF : ,237713
Epoch name,noOfMalFlows,totalBenignFlows,all_decodable_count,all_decodable_percent,all_undecodable_count,all_undecodable_percent,benign_decodable_count,benign_decodable_percent,benign_undecodable_count,benign_undecodable_percent,purecell_ben_collision,purecell_mal_collision,purecell_all_collision,completely_colliding_flows,completely_colliding_mal_flows,completely_colliding_ben_flows,non_colliding_flows,non_colliding_mal_flows,non_colliding_ben_flows,collisions_by_benignflows,collisions_by_maliciousflows,collisions_by_allflows,cells_occupied_epochend,cells_occupied_epochend_percent,cells_occupied_decodeend,cells_occupied_decodeend_percent,purecell_count_before_decode,purecell_count_after_decode,no_of_benign_flows_classified_as_old,no_of_benign_flows_classified_as_new,no_of_malicious_flows_classified_as_old,no_of_malicious_flows_classified_as_new,total_flows_classified_as_old,total_flows_classified_as_new,catergory_of_flows,Pollution ?,pre_mit_decodable,pre_mit_undecodable,pre_mit_decodable_percent,pre_mit_undecodable_percent,NumberofSampledFlows,Sampled Flows after nonMitigated SD,Flows used for mitigation
_00059_20180315130116,713,23782,24459,99.85303123086344,36,0.14696876913655849,23746,99.84862501051215,36,0.15137498948784794,25189,740,25929,9290,31,9259,1992,186,1806,66466,1005,67471,30365,94.54788890272762,0,0.0,4436,0,36,23746,0,713,36,24459,NORMAL,No,0,0,0.0,0.0,899,0,0
_00162_20180315130145,716,23882,24561,99.84958126676966,37,0.15041873323034394,23845,99.84507160204338,37,0.15492839795662006,25170,745,25915,9387,24,9363,2002,181,1821,66833,1041,67874,30370,94.56345746668327,0,0.0,4455,0,37,23845,0,716,37,24561,NORMAL,No,0,0,0.0,0.0,1001,0,0
_00181_20180315130150,714,23817,24488,99.82471158941748,43,0.17528841058252823,23774,99.81945669059915,43,0.18054330940084812,25142,741,25883,9309,25,9284,1986,195,1791,66599,971,67570,30382,94.60082202017685,0,0.0,4499,0,43,23774,0,714,43,24488,NORMAL,No,0,0,0.0,0.0,928,0,0
_00043_20180315130112,727,24262,24949,99.83992956901037,40,0.16007043098963544,24222,99.83513312999752,40,0.16486687000247302,25384,788,26172,9789,35,9754,1982,163,1819,68246,1104,69350,30446,94.80009963880931,0,0.0,4274,0,40,24222,0,727,40,24949,NORMAL,No,12028,12961,48.13317859858338,51.866821401416615,1389,910,286
_00125_20180315130135,702,23410,24084,99.88387524883875,28,0.1161247511612475,23382,99.88039299444682,28,0.11960700555318239,25027,719,25746,8995,26,8969,1970,197,1773,65081,959,66040,30296,94.33304272013949,0,0.0,4550,0,28,23382,0,702,28,24084,NORMAL,No,0,0,0.0,0.0,524,0,0
_00176_20180315130149,703,23459,24130,99.86756063239798,32,0.1324393676020197,23427,99.86359179845688,32,0.13640820154311778,24970,803,25773,9039,38,9001,1987,156,1831,64988,1117,66105,30415,94.70357454228422,0,0.0,4642,0,32,23427,0,703,32,24130,NORMAL,No,0,0,0.0,0.0,570,0,0
_00159_20180315130144,716,23870,24553,99.865777271618,33,0.13422272838200602,23837,99.86175115207374,33,0.1382488479262673,25300,742,26042,9335,34,9301,1959,191,1768,66711,1007,67718,30494,94.94955785278366,0,0.0,4452,0,33,23837,0,716,33,24553,NORMAL,No,0,0,0.0,0.0,993,0,0
_00102_20180315130128,715,23839,24518,99.85338437729087,36,0.1466156227091309,23803,99.84898695415076,36,0.15101304584923864,25230,740,25970,9356,30,9326,1968,188,1780,66706,966,67672,30400,94.65686885041724,0,0.0,4430,0,36,23803,0,715,36,24518,NORMAL,No,0,0,0.0,0.0,958,0,0
_00047_20180315130113,717,23910,24593,99.86194014699313,34,0.13805985300686238,23876,99.857800083647,34,0.14219991635299037,25182,780,25962,9379,34,9345,1948,172,1776,66912,1048,67960,30412,94.69423340391081,0,0.0,4450,0,34,23876,0,717,34,24593,NORMAL,No,0,0,0.0,0.0,1033,0,0
_00103_20180315130128,716,23891,24582,99.8984028934856,25,0.10159710651440647,23866,99.89535808463438,25,0.10464191536561886,25185,769,25954,9352,29,9323,1960,188,1772,66897,1067,67964,30364,94.54477518993649,0,0.0,4410,0,25,23866,0,716,25,24582,NORMAL,No,0,0,0.0,0.0,1022,0,0
_00146_20180315130140,720,24025,24703,99.83026874115983,42,0.16973125884016974,23983,99.8251821019771,42,0.17481789802289283,25333,743,26076,9533,30,9503,1948,202,1746,67335,1006,68341,30471,94.87794245858761,0,0.0,4395,0,42,23983,0,720,42,24703,NORMAL,No,11200,13545,45.26166902404526,54.73833097595474,1143,654,36
_00001_20180315130100,716,23880,24562,99.86176614083591,34,0.1382338591640917,23846,99.85762144053602,34,0.14237855946398661,25229,773,26002,9359,31,9328,1973,176,1797,66735,1038,67773,30475,94.89039730975215,0,0.0,4473,0,34,23846,0,716,34,24562,NORMAL,No,0,0,0.0,0.0,1002,0,0
_00013_20180315130103,732,24426,25111,99.81318069798871,47,0.18681930201128866,24379,99.80758208466388,47,0.19241791533611724,25556,845,26401,9799,39,9760,1978,174,1804,68773,1143,69916,30528,95.05542408768216,0,0.0,4127,0,47,24379,0,732,47,25111,NORMAL,No,12488,12670,49.638286032276014,50.361713967723986,1551,982,318
_00142_20180315130139,719,23991,24680,99.87859166329422,30,0.12140833670578711,23961,99.87495310741528,30,0.12504689258471927,25253,792,26045,9404,38,9366,1973,175,1798,67211,1057,68268,30452,94.8187819155561,0,0.0,4407,0,30,23961,0,719,30,24680,NORMAL,No,10955,13755,44.3342776203966,55.6657223796034,1120,619,24
_00204_20180315130157,713,23779,24448,99.82034950187817,44,0.1796504981218357,23735,99.81496278228688,44,0.18503721771310822,25119,755,25874,9221,26,9195,1938,191,1747,66406,952,67358,30434,94.76273508531573,0,0.0,4560,0,44,23735,0,713,44,24448,NORMAL,No,0,0,0.0,0.0,888,0,0
_00105_20180315130129,710,23696,24362,99.8197164631648,44,0.18028353683520446,23652,99.81431465226198,44,0.18568534773801484,25077,739,25816,9126,21,9105,1988,182,1806,66035,1012,67047,30401,94.65998256320837,0,0.0,4585,0,44,23652,0,710,44,24362,NORMAL,No,0,0,0.0,0.0,802,0,0
_00108_20180315130130,713,23772,24447,99.84480294057586,38,0.15519705942413722,23734,99.84014807336362,38,0.15985192663637893,25142,726,25868,9201,23,9178,1960,182,1778,66333,1004,67337,30451,94.81566820276498,0,0.0,4583,0,38,23734,0,713,38,24447,NORMAL,No,0,0,0.0,0.0,887,0,0
_00178_20180315130149,711,23730,24397,99.81997463278917,44,0.18002536721083426,23686,99.81458069953645,44,0.18541930046354826,25264,691,25955,9232,22,9210,1989,195,1794,66232,943,67175,30413,94.69734711670196,0,0.0,4458,0,44,23686,0,711,44,24397,NORMAL,No,0,0,0.0,0.0,837,0,0
