Capacity of Flows : ,23988
Size of IBLT : ,31064
Number of BF Hash Functions : ,7,Size of BF : ,229929
Epoch name,noOfMalFlows,totalBenignFlows,all_decodable_count,all_decodable_percent,all_undecodable_count,all_undecodable_percent,benign_decodable_count,benign_decodable_percent,benign_undecodable_count,benign_undecodable_percent,purecell_ben_collision,purecell_mal_collision,purecell_all_collision,completely_colliding_flows,completely_colliding_mal_flows,completely_colliding_ben_flows,non_colliding_flows,non_colliding_mal_flows,non_colliding_ben_flows,collisions_by_benignflows,collisions_by_maliciousflows,collisions_by_allflows,cells_occupied_epochend,cells_occupied_epochend_percent,cells_occupied_decodeend,cells_occupied_decodeend_percent,purecell_count_before_decode,purecell_count_after_decode,no_of_benign_flows_classified_as_old,no_of_benign_flows_classified_as_new,no_of_malicious_flows_classified_as_old,no_of_malicious_flows_classified_as_new,total_flows_classified_as_old,total_flows_classified_as_new,catergory_of_flows,Pollution ?,pre_mit_decodable,pre_mit_undecodable,pre_mit_decodable_percent,pre_mit_undecodable_percent,NumberofSampledFlows,Sampled Flows after nonMitigated SD,Flows used for mitigation
_00176_20180315130149,703,23459,24130,99.86756063239798,32,0.1324393676020197,23427,99.86359179845688,32,0.13640820154311778,24654,722,25376,9352,22,9330,1934,173,1761,65867,995,66862,29658,95.4738604172032,0,0.0,4282,0,32,23427,0,703,32,24130,NORMAL,No,11951,12211,49.46196506911679,50.5380349308832,1342,746,77
_00014_20180315130103,736,24564,25257,99.8300395256917,43,0.16996047430830039,24521,99.82494707702328,43,0.1750529229767139,25179,762,25941,10136,22,10114,1894,183,1711,70061,1049,71110,29918,96.31084213237187,0,0.0,3977,0,43,24521,0,736,43,25257,SPIKE,No,11444,13856,45.233201581027664,54.76679841897233,2399,1719,727
_00125_20180315130135,702,23410,24073,99.83825481088255,39,0.1617451891174519,23371,99.8334045279795,39,0.16659547202050407,24639,744,25383,9265,30,9235,1918,180,1738,65611,1018,66629,29663,95.48995621941798,0,0.0,4280,0,39,23371,0,702,39,24073,NORMAL,No,10690,13422,44.33477106834771,55.66522893165229,1285,744,31
_00181_20180315130150,714,23817,24481,99.7961762667645,50,0.20382373323549796,23767,99.79006591930134,50,0.20993408069866062,24778,754,25532,9544,26,9518,1918,206,1712,67166,998,68164,29760,95.80221478238475,0,0.0,4228,0,50,23767,0,714,50,24481,NORMAL,No,12356,12175,50.36892095715625,49.63107904284375,1693,1120,270
_00159_20180315130144,716,23870,24542,99.82103636215733,44,0.1789636378426747,23826,99.81566820276497,44,0.18433179723502305,24884,741,25625,9615,27,9588,1978,177,1801,67356,1035,68391,29777,95.856940509915,0,0.0,4152,0,44,23826,0,716,44,24542,NORMAL,No,12377,12209,50.34165785406329,49.658342145936714,1754,1166,390
_00047_20180315130113,717,23910,24576,99.7929102204897,51,0.20708977951029356,23859,99.78670012547052,51,0.2132998745294856,24950,687,25637,9684,17,9667,1913,196,1717,67595,959,68554,29750,95.77002317795518,0,0.0,4113,0,51,23859,0,717,51,24576,NORMAL,No,11492,13135,46.66423031631949,53.33576968368051,1788,1194,410
_00146_20180315130140,720,24025,24697,99.80602141846838,48,0.19397858153162253,23977,99.80020811654526,48,0.19979188345473467,24992,739,25731,9687,22,9665,1908,176,1732,68018,1016,69034,29754,95.78289981972702,0,0.0,4023,0,48,23977,0,720,48,24697,SPIKE,No,12319,12426,49.78379470600121,50.21620529399878,1909,1274,457
_00214_20180315130159,265,8836,9101,100.0,0,0.0,8836,100.0,0,0.0,10062,122,10184,592,0,592,1892,161,1731,14909,139,15048,21356,68.74839041977853,0,0.0,11172,0,0,8836,0,265,0,9101,DROP,No,0,0,0.0,0.0,0,0,0
_00103_20180315130128,716,23891,24553,99.78055024992888,54,0.21944975007111797,23837,99.77397346281026,54,0.2260265371897367,24785,715,25500,9649,24,9625,1910,180,1730,67467,996,68463,29749,95.76680401751223,0,0.0,4249,0,54,23837,0,716,54,24553,NORMAL,No,11309,13298,45.95846710285691,54.041532897143085,1765,1151,360
_00043_20180315130112,727,24262,24941,99.80791548281243,48,0.19208451718756253,24214,99.80215975599704,48,0.1978402440029676,24986,763,25749,10062,27,10035,1889,181,1708,68975,1014,69989,29775,95.8505021890291,0,0.0,4026,0,48,24214,0,727,48,24941,SPIKE,No,12937,12052,51.770779142822846,48.229220857177154,2153,1544,679
