Capacity of Flows : ,23988
Size of IBLT : ,31064
Number of BF Hash Functions : ,7,Size of BF : ,229929
Epoch name,noOfMalFlows,totalBenignFlows,all_decodable_count,all_decodable_percent,all_undecodable_count,all_undecodable_percent,benign_decodable_count,benign_decodable_percent,benign_undecodable_count,benign_undecodable_percent,purecell_ben_collision,purecell_mal_collision,purecell_all_collision,completely_colliding_flows,completely_colliding_mal_flows,completely_colliding_ben_flows,non_colliding_flows,non_colliding_mal_flows,non_colliding_ben_flows,collisions_by_benignflows,collisions_by_maliciousflows,collisions_by_allflows,cells_occupied_epochend,cells_occupied_epochend_percent,cells_occupied_decodeend,cells_occupied_decodeend_percent,purecell_count_before_decode,purecell_count_after_decode,no_of_benign_flows_classified_as_old,no_of_benign_flows_classified_as_new,no_of_malicious_flows_classified_as_old,no_of_malicious_flows_classified_as_new,total_flows_classified_as_old,total_flows_classified_as_new,catergory_of_flows,Pollution ?,pre_mit_decodable,pre_mit_undecodable,pre_mit_decodable_percent,pre_mit_undecodable_percent,NumberofSampledFlows,Sampled Flows after nonMitigated SD,Flows used for mitigation
_00214_20180315130159,883,8836,9718,99.98971087560449,1,0.010289124395513941,8835,99.98868266183794,1,0.011317338162064282,10149,939,11088,741,49,692,1912,189,1723,15366,1386,16752,22120,71.20782899819727,0,0.0,11032,0,1,8835,0,883,1,9718,DROP,No,0,0,0.0,0.0,0,0,0
_00105_20180315130129,2369,23696,26001,99.75446000383657,64,0.24553999616343755,23640,99.76367319378798,56,0.2363268062120189,23830,2468,26298,10893,951,9942,1955,188,1767,67419,6608,74027,29977,96.50077259850632,0,0.0,3679,0,56,23640,8,2361,64,26001,NORMAL,No,13696,12369,52.545559178975644,47.45444082102436,4412,3322,1361
_00076_20180315130121,2393,23931,26258,99.74927822519373,66,0.25072177480626046,23870,99.74510049726297,61,0.25489950273703565,23945,2492,26437,11094,842,10252,1944,215,1729,68629,6388,75017,30015,96.62310069533866,0,0.0,3578,0,61,23870,5,2388,66,26258,NORMAL,No,13826,12498,52.52241300714178,47.47758699285823,4669,3643,1565
_00165_20180315130146,2357,23575,25878,99.79176307265155,54,0.20823692734844979,23525,99.78791092258749,50,0.2120890774125133,23678,2540,26218,10742,849,9893,1965,209,1756,67124,6417,73541,29971,96.48145763584857,0,0.0,3753,0,50,23525,4,2353,54,25878,NORMAL,No,13978,11954,53.90251426808577,46.09748573191424,4289,3254,1239
_00022_20180315130106,2428,24283,26634,99.71172925012168,77,0.2882707498783273,24210,99.69937816579501,73,0.3006218342049994,24100,2571,26671,11436,997,10439,1959,160,1799,69583,6876,76459,30077,96.82268864280196,0,0.0,3406,0,73,24210,4,2424,77,26634,SPIKE,No,14339,12372,53.68200366890046,46.31799633109955,5045,4009,1951
_00186_20180315130152,2368,23687,25971,99.6776050662061,84,0.3223949337938975,23608,99.66648372525013,79,0.3335162747498628,23955,2382,26337,10846,945,9901,1948,190,1758,67247,6653,73900,29984,96.523306721607,0,0.0,3647,0,79,23608,5,2363,84,25971,NORMAL,No,13347,12708,51.226252158894646,48.773747841105354,4382,3368,1406
_00212_20180315130159,2344,23446,25719,99.72469949592866,71,0.2753005040713455,23380,99.71850208990872,66,0.28149791009127356,23641,2469,26110,10589,888,9701,1893,191,1702,66527,6451,72978,29898,96.24645892351275,0,0.0,3788,0,66,23380,5,2339,71,25719,NORMAL,No,13623,12167,52.82279953470337,47.17720046529663,4130,3127,1192
_00032_20180315130108,2413,24133,26475,99.73253974233405,71,0.2674602576659384,24064,99.71408444868023,69,0.2859155513197696,24058,2539,26597,11176,920,10256,1926,192,1734,69209,6650,75859,30041,96.70679886685552,0,0.0,3444,0,69,24064,2,2411,71,26475,SPIKE,No,14039,12507,52.885557146086036,47.114442853913964,4886,3829,1759
_00049_20180315130113,2403,24036,26368,99.73145731684254,71,0.2685426831574568,23973,99.7378931602596,63,0.26210683974038945,24089,2410,26499,11149,919,10230,1900,198,1702,68786,6651,75437,30035,96.68748390419779,0,0.0,3536,0,63,23973,8,2395,71,26368,SPIKE,No,13991,12448,52.9180377472673,47.08196225273271,4779,3667,1648
_00041_20180315130111,2390,23900,26227,99.76036515785471,63,0.2396348421453024,23842,99.75732217573223,58,0.24267782426778242,23828,2585,26413,11114,961,10153,1927,167,1760,68187,6749,74936,29972,96.48467679629152,0,0.0,3559,0,58,23842,5,2385,63,26227,NORMAL,No,13023,13267,49.5359452263218,50.4640547736782,4638,3593,1567
