Capacity of Flows : ,23988
Size of IBLT : ,31064
Number of BF Hash Functions : ,7,Size of BF : ,229929
Epoch name,noOfMalFlows,totalBenignFlows,all_decodable_count,all_decodable_percent,all_undecodable_count,all_undecodable_percent,benign_decodable_count,benign_decodable_percent,benign_undecodable_count,benign_undecodable_percent,purecell_ben_collision,purecell_mal_collision,purecell_all_collision,completely_colliding_flows,completely_colliding_mal_flows,completely_colliding_ben_flows,non_colliding_flows,non_colliding_mal_flows,non_colliding_ben_flows,collisions_by_benignflows,collisions_by_maliciousflows,collisions_by_allflows,cells_occupied_epochend,cells_occupied_epochend_percent,cells_occupied_decodeend,cells_occupied_decodeend_percent,purecell_count_before_decode,purecell_count_after_decode,no_of_benign_flows_classified_as_old,no_of_benign_flows_classified_as_new,no_of_malicious_flows_classified_as_old,no_of_malicious_flows_classified_as_new,total_flows_classified_as_old,total_flows_classified_as_new,catergory_of_flows,Pollution ?,pre_mit_decodable,pre_mit_undecodable,pre_mit_decodable_percent,pre_mit_undecodable_percent,NumberofSampledFlows,Sampled Flows after nonMitigated SD,Flows used for mitigation
_00214_20180315130159,883,8836,9719,100.0,0,0.0,8836,100.0,0,0.0,10163,946,11109,743,35,708,1912,221,1691,15458,1337,16795,22081,71.08228174092197,0,0.0,10972,0,0,8836,0,883,0,9719,DROP,No,0,0,0.0,0.0,0,0,0
_00022_20180315130106,2428,24283,11316,42.36456890419677,15395,57.63543109580323,10352,42.63064695465964,13931,57.36935304534037,24067,2590,26657,11422,988,10434,1972,174,1798,69574,6899,76473,30087,96.85488024723152,20248,65.18156064898275,3430,0,71,24212,0,2428,71,26640,SPIKE,YES,11315,15396,42.36082512822433,57.63917487177568,2399,1876,1747
_00209_20180315130158,2335,23357,25633,99.77035653121594,59,0.2296434687840573,23301,99.76024318191548,56,0.23975681808451427,23617,2547,26164,10533,823,9710,1957,206,1751,66296,6259,72555,29977,96.50077259850632,0,0.0,3813,0,56,23301,3,2332,59,25633,NORMAL,No,13785,11907,53.65483418963102,46.34516581036899,2399,1775,976
_00100_20180315130128,2354,23548,25852,99.80696471314955,50,0.19303528685043625,23500,99.7961610327841,48,0.20383896721589945,23733,2505,26238,10672,895,9777,1937,183,1754,66869,6524,73393,30015,96.62310069533866,0,0.0,3777,0,48,23500,2,2352,50,25852,NORMAL,No,12911,12991,49.845571770519655,50.15442822948035,2399,1807,1187
_00211_20180315130159,2353,23531,25824,99.76819656930923,60,0.23180343069077425,23475,99.76201606391568,56,0.2379839360843143,23738,2474,26212,10691,905,9786,1934,192,1742,66860,6501,73361,29935,96.36556785990213,0,0.0,3723,0,56,23475,4,2349,60,25824,NORMAL,No,13089,12795,50.567918405192394,49.432081594807606,2399,1783,1160
_00032_20180315130108,2413,24133,12108,45.61139154674904,14438,54.38860845325097,11036,45.72991339659387,13097,54.27008660340612,23987,2582,26569,11204,927,10277,1960,199,1761,69156,6696,75852,30068,96.79371619881535,19376,62.37445274272469,3499,0,65,24068,1,2412,66,26480,SPIKE,YES,12107,14439,45.60762450086642,54.392375499133585,2399,1847,1678
_00195_20180315130154,2415,24158,12848,48.349828773567154,13725,51.65017122643285,11703,48.44357976653696,12455,51.55642023346303,23984,2535,26519,11276,908,10368,1948,194,1754,69300,6685,75985,30015,96.62310069533866,18605,59.89248004120525,3496,0,65,24093,8,2407,73,26500,SPIKE,YES,12843,13730,48.33101268204569,51.66898731795432,2399,1877,1708
_00007_20180315130101,2421,24217,12178,45.71664539379833,14460,54.28335460620166,11147,46.02964859396292,13070,53.970351406037075,23886,2567,26453,11396,900,10496,1915,198,1717,69658,6629,76287,30001,96.57803244913727,19273,62.04287921710018,3548,0,61,24156,5,2416,66,26572,SPIKE,YES,12175,14463,45.70538328703356,54.29461671296644,2399,1907,1740
_00023_20180315130106,2400,24006,12465,47.20518064076346,13941,52.794819359236534,11452,47.70474048154628,12554,52.29525951845372,23918,2569,26487,11151,931,10220,1942,189,1753,68711,6650,75361,30023,96.64885397888231,18941,60.97411795003863,3536,0,54,23952,6,2394,60,26346,SPIKE,YES,12299,14107,46.57653563584034,53.423464364159656,2399,1882,1675
_00207_20180315130157,2404,24048,13152,49.72024799637079,13300,50.27975200362922,12034,50.04158349966733,12014,49.95841650033267,24030,2498,26528,11216,920,10296,1909,188,1721,68926,6562,75488,30032,96.67782642286892,18285,58.862348699459176,3504,0,64,23984,8,2396,72,26380,SPIKE,YES,13148,13304,49.705126266444886,50.29487373355512,2399,1887,1714
_00066_20180315130118,2413,24135,12934,48.71930088895585,13614,51.28069911104415,11843,49.0698156204682,12292,50.930184379531795,23971,2521,26492,11300,963,10337,1970,196,1774,69111,6743,75854,29994,96.55549832603657,18499,59.55124903425186,3502,0,84,24051,2,2411,86,26462,SPIKE,YES,12906,13642,48.613831550399276,51.386168449600724,2399,1877,1684
_00038_20180315130110,2404,24045,12663,47.87704639116791,13786,52.12295360883209,11494,47.80203784570597,12551,52.19796215429403,23986,2509,26495,11211,955,10256,1941,190,1751,68749,6731,75480,30020,96.63919649755344,18774,60.4365181560649,3525,0,70,23975,4,2400,74,26375,SPIKE,YES,12654,13795,47.84301863964611,52.156981360353896,2399,1884,1704
_00117_20180315130132,2364,23643,25951,99.78467335717308,56,0.2153266428269312,23592,99.7842913335871,51,0.21570866641289177,23875,2472,26347,10800,901,9899,1938,205,1733,67307,6512,73819,29985,96.52652588204997,0,0.0,3638,0,51,23592,5,2359,56,25951,NORMAL,No,13589,12418,52.251316953128004,47.748683046871996,2399,1837,1287
_00074_20180315130120,2427,24278,11480,42.988204456094365,15225,57.01179554390564,10484,43.183128758546836,13794,56.81687124145317,24095,2559,26654,11400,885,10515,1979,208,1771,69833,6608,76441,30091,96.86775688900335,20099,64.70190574298223,3437,0,67,24211,5,2422,72,26633,SPIKE,YES,11479,15226,42.984459838981465,57.01554016101854,2399,1913,1773
_00135_20180315130137,2415,24150,12206,45.94767551289291,14359,54.05232448710709,11125,46.06625258799172,13025,53.93374741200828,24061,2467,26528,11339,936,10403,1935,195,1740,69271,6633,75904,30052,96.74220963172804,19226,61.89157867628122,3524,0,73,24077,3,2412,76,26489,SPIKE,YES,12205,14360,45.943911161302466,54.056088838697534,2399,1832,1676
_00099_20180315130127,2403,24031,13086,49.504426117878495,13348,50.49557388212151,11969,49.806499937580625,12062,50.193500062419375,24027,2498,26525,11132,938,10194,1887,171,1716,68712,6702,75414,30030,96.671388101983,18342,59.0458408447077,3505,0,69,23962,4,2399,73,26361,SPIKE,YES,13074,13360,49.45903003707347,50.54096996292653,2399,1866,1683
_00065_20180315130118,2379,23790,26089,99.694294776262,80,0.3057052237380106,23715,99.68474148802018,75,0.31525851197982346,23850,2554,26404,11075,916,10159,1929,179,1750,67780,6619,74399,29957,96.43638938964718,0,0.0,3553,0,75,23715,5,2374,80,26089,NORMAL,No,14102,12067,53.88818831441782,46.111811685582175,2399,1831,1485
_00165_20180315130146,2357,23575,25881,99.80333179083757,51,0.1966682091624248,23528,99.80063626723224,47,0.19936373276776245,23687,2530,26217,10789,856,9933,1944,199,1745,67158,6419,73577,29947,96.40419778521762,0,0.0,3730,0,47,23528,4,2353,51,25881,NORMAL,No,13087,12845,50.466604966836336,49.53339503316366,2399,1797,1326
_00177_20180315130149,2347,23479,25765,99.7638039185317,61,0.23619608146828777,23420,99.74871161463436,59,0.2512883853656459,23764,2530,26294,10698,804,9894,1903,220,1683,66837,6243,73080,29980,96.51043007983517,0,0.0,3686,0,59,23420,2,2345,61,25765,NORMAL,No,12979,12847,50.25555641601487,49.74444358398513,2399,1796,1140
_00156_20180315130143,2360,23607,25905,99.76123541417954,62,0.23876458582046445,23553,99.77125428898208,54,0.2287457110179184,23635,2580,26215,10727,819,9908,1939,171,1768,67233,6440,73673,29947,96.40419778521762,0,0.0,3732,0,54,23553,8,2352,62,25905,NORMAL,No,12976,12991,49.97111718719914,50.028882812800866,2399,1828,1323
_00169_20180315130147,2395,23952,26271,99.71154211105629,76,0.28845788894371277,23882,99.70774883099533,70,0.292251169004676,23954,2483,26437,11198,892,10306,1954,179,1775,68451,6628,75079,30005,96.5909090909091,0,0.0,3568,0,70,23882,6,2389,76,26271,NORMAL,No,13222,13125,50.18408167912855,49.81591832087145,2399,1896,1678
_00188_20180315130152,2345,23455,25740,99.76744186046511,60,0.23255813953488372,23397,99.75271797058195,58,0.2472820294180345,23613,2458,26071,10622,878,9744,1914,197,1717,66616,6431,73047,29913,96.2947463301571,0,0.0,3842,0,58,23397,2,2343,60,25740,NORMAL,No,12717,13083,49.2906976744186,50.7093023255814,2399,1795,1191
_00106_20180315130129,2369,23690,26009,99.80812771019609,50,0.19187228980390653,23643,99.80160405234277,47,0.19839594765723936,23854,2476,26330,10864,883,9981,1949,198,1751,67527,6490,74017,30019,96.63597733711048,0,0.0,3689,0,47,23643,3,2366,50,26009,NORMAL,No,13037,13022,50.028780843470585,49.971219156529415,2399,1870,1381
_00186_20180315130152,2368,23687,25977,99.70063327576281,78,0.2993667242371906,23611,99.67914890024063,76,0.32085109975936166,23870,2467,26337,10895,858,10037,1944,198,1746,67505,6425,73930,29978,96.50399175894927,0,0.0,3641,0,76,23611,2,2366,78,25977,NORMAL,No,13232,12823,50.7848781423911,49.21512185760891,2399,1846,1491
_00192_20180315130153,2387,23873,26199,99.76770753998477,61,0.2322924600152323,23816,99.76123654337536,57,0.23876345662463871,24007,2481,26488,10979,868,10111,1931,196,1735,68231,6496,74727,30069,96.79693535925831,0,0.0,3581,0,57,23816,4,2383,61,26199,NORMAL,No,14141,12119,53.84996191926885,46.15003808073115,2399,1851,1506
